time_ms	cdf_baseline	cdf_jesspro
1911.000000	0.957722	0.959664
1912.000000	0.957759	0.959664
1914.000000	0.957796	0.959664
1916.000000	0.957834	0.959701
1918.000000	0.957834	0.959739
1919.000000	0.957871	0.959776
1920.000000	0.957946	0.959776
1921.000000	0.957983	0.959776
1922.000000	0.958021	0.959776
1923.000000	0.958058	0.959813
1925.000000	0.958095	0.959851
1926.000000	0.958133	0.959851
1927.000000	0.958133	0.959888
1928.000000	0.958133	0.959963
1929.000000	0.958207	0.959963
1930.000000	0.958245	0.959963
1933.000000	0.958282	0.959963
1935.000000	0.958282	0.960000
1936.000000	0.958357	0.960037
1939.000000	0.958357	0.960075
1942.000000	0.958394	0.960075
1943.000000	0.958431	0.960075
1944.000000	0.958431	0.960112
1945.000000	0.958431	0.960149
1949.000000	0.958431	0.960187
1950.000000	0.958469	0.960187
1953.000000	0.958506	0.960224
1955.000000	0.958506	0.960261
1956.000000	0.958506	0.960299
1959.000000	0.958506	0.960336
1960.000000	0.958506	0.960373
1961.000000	0.958506	0.960411
1966.000000	0.958543	0.960411
1971.000000	0.958543	0.960486
1972.000000	0.958581	0.960523
1974.000000	0.958581	0.960560
1976.000000	0.958581	0.960598
1978.000000	0.958618	0.960635
1979.000000	0.958618	0.960710
1981.000000	0.958618	0.960747
1983.000000	0.958618	0.960784
1984.000000	0.958655	0.960784
1988.000000	0.958693	0.960784
1989.000000	0.958693	0.960859
1994.000000	0.958768	0.960859
1998.000000	0.958805	0.960859
1999.000000	0.958805	0.960934
2002.000000	0.958917	0.960934
2003.000000	0.958954	0.960971
2007.000000	0.958992	0.961008
2015.000000	0.958992	0.961046
2018.000000	0.958992	0.961083
2020.000000	0.958992	0.961120
2022.000000	0.959029	0.961120
2023.000000	0.959029	0.961195
2027.000000	0.959029	0.961270
2030.000000	0.959066	0.961270
2032.000000	0.959066	0.961307
2033.000000	0.959104	0.961345
2042.000000	0.959141	0.961345
2043.000000	0.959141	0.961382
2044.000000	0.959141	0.961419
2045.000000	0.959141	0.961457
2046.000000	0.959141	0.961494
2047.000000	0.959141	0.961531
2049.000000	0.959141	0.961569
2050.000000	0.959178	0.961606
2051.000000	0.959178	0.961643
2052.000000	0.959216	0.961718
2053.000000	0.959253	0.961718
2054.000000	0.959328	0.961718
2057.000000	0.959365	0.961793
2058.000000	0.959402	0.961793
2060.000000	0.959402	0.961830
2061.000000	0.959440	0.961830
2065.000000	0.959440	0.961905
2066.000000	0.959477	0.961905
2067.000000	0.959514	0.961905
2070.000000	0.959552	0.961905
2072.000000	0.959589	0.961905
2074.000000	0.959627	0.961905
2078.000000	0.959627	0.961942
2079.000000	0.959664	0.961979
2080.000000	0.959701	0.961979
2081.000000	0.959701	0.962017
2083.000000	0.959701	0.962054
2086.000000	0.959739	0.962092
2087.000000	0.959776	0.962129
2090.000000	0.959813	0.962129
2092.000000	0.959888	0.962129
2094.000000	0.959888	0.962166
2095.000000	0.959888	0.962204
2098.000000	0.959925	0.962204
2099.000000	0.959963	0.962204
2103.000000	0.959963	0.962241
2104.000000	0.959963	0.962316
2105.000000	0.960000	0.962316
2106.000000	0.960000	0.962353
2114.000000	0.960000	0.962390
2117.000000	0.960037	0.962390
2118.000000	0.960075	0.962390
2121.000000	0.960075	0.962502
2122.000000	0.960112	0.962502
2123.000000	0.960149	0.962502
2124.000000	0.960187	0.962502
2125.000000	0.960224	0.962502
2126.000000	0.960261	0.962540
2127.000000	0.960336	0.962577
2128.000000	0.960411	0.962577
2130.000000	0.960448	0.962614
2132.000000	0.960448	0.962652
2136.000000	0.960486	0.962689
2137.000000	0.960486	0.962764
2139.000000	0.960486	0.962801
2141.000000	0.960486	0.962838
2145.000000	0.960486	0.962876
2146.000000	0.960523	0.962913
2150.000000	0.960560	0.962913
2154.000000	0.960598	0.962951
2155.000000	0.960635	0.962988
2156.000000	0.960635	0.963025
2157.000000	0.960672	0.963025
2158.000000	0.960710	0.963025
2159.000000	0.960747	0.963063
2160.000000	0.960784	0.963063
2161.000000	0.960784	0.963100
2164.000000	0.960784	0.963137
2166.000000	0.960822	0.963137
2171.000000	0.960822	0.963175
2172.000000	0.960859	0.963175
2173.000000	0.960896	0.963175
2174.000000	0.960934	0.963175
2175.000000	0.960971	0.963175
2177.000000	0.961008	0.963175
2181.000000	0.961008	0.963212
2185.000000	0.961046	0.963287
2188.000000	0.961046	0.963324
2191.000000	0.961046	0.963361
2192.000000	0.961083	0.963361
2194.000000	0.961083	0.963399
2195.000000	0.961083	0.963436
2198.000000	0.961120	0.963436
2200.000000	0.961158	0.963436
2201.000000	0.961158	0.963473
